Device,TSL_Lux,TSL_IR,TSL_Vis,TSL_Full,Percentage_IR,BME_Temp,BME_Hum,BME_Pres,BME_Alt,VEML_UV,SGP_CO2,SGP_VOCs,SOIL1_Temp,SOIL1_Cap,SOIL2_Temp,SOIL2_Cap,PIR 1,Decimal Hours,Decimal Hours,Year,Month,Day,Hour,Minute,Second,TimeZone
Quolls,75,9,25,34,0.264705882,22.27,46.268,1012.695,4.618,3,400,0,23.491,1015,22.698,1016,,139.501,19.501,2020,1,6,19,30,5,10
Quolls,58.915,6,19,25,0.24,22.26,46.356,1012.821,3.567,2,400,0,23.392,1015,22.698,1016,,139.584,19.584,2020,1,6,19,35,5,10
Quolls,62.769,6,20,26,0.230769231,22.26,46.586,1012.817,3.6,2,400,0,23.491,1016,20.974,1016,,139.668,19.668,2020,1,6,19,40,5,10
Quolls,61.37,5,19,24,0.208333333,22.25,46.716,1012.815,3.622,2,400,0,23.286,911,10.431,1016,,139.751,19.751,2020,1,6,19,45,5,10
Quolls,53.596,5,17,22,0.227272727,22.239,46.913,1012.65,4.992,1,400,0,13.86,1015,22.598,1016,,139.834,19.834,2020,1,6,19,50,5,10
Quolls,47.04,3,14,17,0.176470588,22.27,47.729,1012.745,4.203,1,400,1,23.801,1016,23.004,1016,,140.428,20.428,2020,1,6,20,25,41,10
Quolls,48.315,4,15,19,0.210526316,22.229,47.056,1012.759,4.086,1,400,0,23.491,1015,22.898,1016,,140.001,20.001,2020,1,6,20,0,5,10
Quolls,51,3,15,18,0.166666667,22.239,47.122,1012.642,5.06,1,400,0,23.801,1015,22.392,1016,,140.084,20.084,2020,1,6,20,5,5,10
Quolls,51,3,15,18,0.166666667,22.229,47.232,1012.691,4.647,1,400,0,23.596,1015,22.598,1016,,140.168,20.168,2020,1,6,20,10,5,10
Quolls,51,3,15,18,0.166666667,22.219,47.394,1012.698,4.59,1,400,0,23.187,1015,23.104,1016,,140.251,20.251,2020,1,6,20,15,5,10
Quolls,47.04,3,14,17,0.176470588,22.209,47.646,1012.736,4.278,1,400,0,23.491,1015,22.698,1016,,140.334,20.334,2020,1,6,20,20,5,10
Quolls,47.04,3,14,17,0.176470588,22.28,48.268,1012.828,3.508,1,400,1,23.901,1016,23.204,945,,140.931,20.931,2020,1,6,20,55,53,10
Quolls,47.04,3,14,17,0.176470588,22.2,48.041,1012.737,4.269,1,400,0,23.286,1015,22.798,1016,,140.501,20.501,2020,1,6,20,30,5,10
Quolls,47.04,3,14,17,0.176470588,22.19,48.334,1012.816,3.609,1,400,0,23.596,1015,22.598,1015,,140.668,20.668,2020,1,6,20,40,5,10
Quolls,47.04,3,14,17,0.176470588,22.2,48.139,1012.792,3.81,1,400,0,23.286,1015,22.798,962,,140.584,20.584,2020,1,6,20,35,5,10
Quolls,47.04,3,14,17,0.176470588,22.19,48.368,1012.856,3.273,1,400,0,23.491,1016,22.598,1016,,140.751,20.751,2020,1,6,20,45,5,10
Quolls,47.04,3,14,17,0.176470588,22.19,48.401,1012.802,3.722,1,400,0,24,1015,22.598,1016,,140.834,20.834,2020,1,6,20,50,5,10
Quolls,47.04,3,14,17,0.176470588,22.25,48.814,1012.828,3.51,1,400,1,24,1014,23.104,1016,,141.431,21.431,2020,1,6,21,25,53,10
Quolls,47.04,3,14,17,0.176470588,22.2,48.545,1012.769,4.001,1,400,0,23.392,1015,22.698,1016,,141.001,21.001,2020,1,6,21,0,5,10
Quolls,47.04,3,14,17,0.176470588,22.19,48.642,1012.735,4.282,1,400,0,23.286,1015,22.698,1016,,141.084,21.084,2020,1,6,21,5,5,10
Quolls,47.04,3,14,17,0.176470588,22.18,48.73,1012.812,3.643,1,400,0,23.286,1015,22.798,1016,,141.168,21.168,2020,1,6,21,10,5,10
Quolls,47.04,3,14,17,0.176470588,22.18,48.873,1012.808,3.677,1,400,0,23.596,1015,22.698,1016,,141.251,21.251,2020,1,6,21,15,5,10
